link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_factor,congestion_period,rho,waiting_time
14348BA,9298,14795,1/1/2018,6,2,0600_0900,2186.0,728.6666666666666,30.516666666666666,24.24346261925597,0,0,755.5,398.0,2.8934480476505624,0.25,7269.785840132568,0.00792786179174144
14381AB,14808,14812,1/1/2018,6,2,0600_0900,696.5,232.16666666666666,30.933333333333337,7.7629220262305845,0,0,245.5,98.0,2.8370672097759675,0.25,1793.98001505697,0.007945277135846132
14381BA,14812,14808,1/1/2018,6,2,0600_0900,1310.5,436.8333333333333,32.62916666666667,13.656152173648707,0,0,524.5,190.0,2.498570066730219,0.25,2609.9150340053643,0.005961976959990324
14402AB,14822,29427,1/1/2018,6,2,0600_0900,1189.5,396.5,32.641666666666666,12.143542415491673,0,0,250.5,168.0,4.748502994011976,0.25,2263.6670532251073,0.005848180837738475
14402BA,29427,14822,1/1/2018,6,2,0600_0900,1771.5,590.5,28.037499999999998,21.91516615901041,0,0,654.5,244.0,2.706646294881589,0.25,6361.777585335185,0.011316345033112735
14411AB,14111,14816,1/1/2018,6,2,0600_0900,1262.5,420.8333333333333,28.90416666666667,14.698264054804433,0,0,246.5,160.0,5.121703853955375,0.25,3640.322369268368,0.00987500642705178
14411BA,14816,14111,1/1/2018,6,2,0600_0900,1603.0,534.3333333333334,28.2,19.573254311112237,0,0,497.5,174.0,3.222110552763819,0.25,4352.010185432885,0.010855708676147642
14419AB,14795,14821,1/1/2018,6,2,0600_0900,887.5,295.8333333333333,28.683333333333334,10.464995463644378,0,0,372.0,134.0,2.385752688172043,0.25,3108.601534945345,0.010068801613499384
14419BA,14821,14795,1/1/2018,6,2,0600_0900,1467.5,489.1666666666667,31.6125,15.924424266908636,0,0,358.0,184.0,4.099162011173185,0.25,3027.6414705334755,0.0071417418443667805
14470AB,14164,39393,1/1/2018,6,2,0600_0900,1009.5,336.5,30.462500000000002,11.218399951591282,0,0,382.5,192.0,2.6392156862745098,0.25,3526.240686642665,0.00797128338090157
14470BA,39393,14164,1/1/2018,6,2,0600_0900,1412.0,470.6666666666667,29.724999999999998,16.062858854878396,0,0,587.5,266.0,2.403404255319149,0.25,5378.526294029829,0.0087760519365305
14488AB,14842,14843,1/1/2018,6,2,0600_0900,666.5,222.16666666666666,24.641666666666666,9.072919557305633,0,0,217.5,134.0,3.064367816091954,0.25,4930.96038481089,0.01597144610544572
14488BA,14843,14842,1/1/2018,6,2,0600_0900,918.5,306.1666666666667,25.441666666666666,12.400218524473305,0,0,335.0,136.0,2.7417910447761193,0.25,4600.738091062103,0.014682706836773972
14498AB,14064,14854,1/1/2018,6,2,0600_0900,1498.3,499.43333333333334,36.03666666666667,14.017252215835404,0,0,591.9,334.4,2.531339753336712,0.25,2181.189714144409,0.0028310314729122136
14498BA,14854,14064,1/1/2018,6,2,0600_0900,1343.0,447.6666666666667,26.045833333333334,17.74763728263892,0,0,544.5,198.0,2.4664830119375574,0.25,6392.675856578734,0.014013125737800605
14500AB,14847,14857,1/1/2018,6,2,0600_0900,1580.5,526.8333333333334,20.49583333333333,26.054249648564653,2,2,448.5,562.0,3.52396878483835,0.25,31797.75820791654,0.024557135824372082
14500BA,14857,14847,1/1/2018,6,2,0600_0900,836.5,278.8333333333333,23.95,12.02454667466258,0,0,379.5,140.0,2.204216073781291,0.25,5526.84967445158,0.017134330587957526
14501AB,14858,14859,1/1/2018,6,2,0600_0900,1249.5,416.5,21.195833333333333,19.78615544913543,0,0,477.0,324.0,2.619496855345912,0.25,16713.836996635397,0.022389720770955763
14501BA,14859,14858,1/1/2018,6,2,0600_0900,1849.0,616.3333333333334,24.837500000000002,25.813876678755403,0,0,702.0,374.0,2.633903133903134,0.25,13963.219366700321,0.016204345113242168
14502AB,14857,14848,1/1/2018,6,2,0600_0900,1192.0,397.3333333333333,20.6125,19.447206702316326,0,0,423.0,306.0,2.817966903073286,0.25,16716.462025275632,0.023710486487375792
14502BA,14848,14857,1/1/2018,6,2,0600_0900,1516.0,505.3333333333333,21.78333333333333,23.432059294335726,0,0,611.5,280.0,2.4791496320523305,0.25,13611.074351245798,0.021098515549426145
14536AB,14885,14896,1/1/2018,6,2,0600_0900,1158.0,386.0,31.379166666666666,12.332625487563682,0,0,491.5,140.0,2.3560528992878944,0.25,2237.4960511161958,0.006936681706089395
14536BA,14896,14885,1/1/2018,6,2,0600_0900,388.5,129.5,28.245833333333334,4.683126890001639,0,0,171.0,38.0,2.2719298245614037,0.25,931.7068241367074,0.010641753747906471
14539AB,14898,14875,1/1/2018,6,2,0600_0900,1031.0,343.6666666666667,23.504166666666666,14.741268709806421,0,0,435.5,156.0,2.367393800229621,0.25,6449.0249558807,0.017942666477143144
